epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4161.75,2.77191,3.35519,1.92195,0.61098,0.25238,0.18107,0.11316,2.33562,3.69709,1.65587,0.00125216,0.00125216,0.00125216
77,4217.1,2.92093,3.28918,1.95496,0.27765,0.23698,0.188,0.1103,2.33112,4.1036,1.63666,0.0012498,0.0012498,0.0012498
78,4271.75,2.74011,3.48928,1.98587,0.25769,0.25264,0.18074,0.10952,2.25679,3.31199,1.61473,0.00124745,0.00124745,0.00124745
79,4326.45,2.79989,3.36699,1.94389,0.25825,0.25935,0.18435,0.11732,2.30862,3.47652,1.64959,0.00124509,0.00124509,0.00124509
80,4381.39,2.89682,3.33523,1.9949,0.28829,0.24086,0.18972,0.11952,2.39156,3.80523,1.64196,0.00124273,0.00124273,0.00124273
81,4435.72,2.71144,3.46278,1.97716,0.29363,0.25212,0.18764,0.10935,2.49847,3.40631,1.66777,0.00124037,0.00124037,0.00124037
82,4491.14,2.91458,3.31397,2.02475,0.6164,0.25965,0.19563,0.11979,2.42102,3.73318,1.65165,0.00123801,0.00123801,0.00123801
83,4546.46,2.93318,3.36437,2.03323,0.6058,0.25842,0.17609,0.10871,2.42886,3.73953,1.66527,0.00123566,0.00123566,0.00123566
84,4601.56,2.90353,3.17138,1.97341,0.27841,0.21967,0.18187,0.11572,2.33053,3.66689,1.61529,0.0012333,0.0012333,0.0012333
85,4656.22,2.86042,3.51178,2.04224,0.26748,0.25749,0.17121,0.10686,2.33462,3.75895,1.61344,0.00123094,0.00123094,0.00123094
86,4710.49,2.73912,3.21322,1.8672,0.602,0.24813,0.16619,0.10257,2.38462,3.373,1.6716,0.00122858,0.00122858,0.00122858
87,4765.25,2.7915,3.16072,1.93416,0.5745,0.2601,0.17653,0.10377,2.38281,3.56254,1.64233,0.00122622,0.00122622,0.00122622
88,4820.53,2.79525,3.02585,1.98984,0.57889,0.24614,0.16858,0.10266,2.49955,4.10581,1.66377,0.00122387,0.00122387,0.00122387
89,4875.21,2.8231,3.23792,1.93347,0.2911,0.2474,0.19142,0.11667,2.47001,3.37399,1.71102,0.00122151,0.00122151,0.00122151
90,4929.98,2.90625,3.1229,1.87935,0.61331,0.24163,0.18257,0.11297,2.37473,3.45325,1.63919,0.00121915,0.00121915,0.00121915
